timestamp,target_pos_rx,target_pos_ry,target_pos_rz,target_pos_x,target_pos_y,target_pos_z,current_pos_rx,current_pos_ry,current_pos_rz,current_pos_x,current_pos_y,current_pos_z,force
1753692084.421856,0.0,0.002000000000007509,0.0,0.009999996079291057,0.0,-8.855177215167292e-06,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.428986,0.0,0.005899999999996071,0.0,0.029399988473115708,0.0,-2.6034221012591836e-05,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.4421253,0.0,0.011605000000009889,0.0,0.05753597744180902,0.0,-5.0949147625186526e-05,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.4585636,0.0,0.019024750000003806,0.0,0.09368980326694064,0.0,-8.29640136460669e-05,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.4673634,0.0,0.028073512500001088,0.0,0.13709903584743732,0.0,-0.00012140367344460988,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.4743314,0.0,0.03866983687500474,0.0,0.18696681251972586,0.0,-0.00016556249073394693,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.4889858,0.0,0.05073634503125999,0.0,0.24247152831249377,0.0,-0.00021471291946664493,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.4968672,0.0,0.06419952777968836,0.0,0.3027762891117894,0.0,-0.00026811387478320887,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.5070064,0.0,0.07898955139070982,0.0,0.3670380450592934,0.0,-0.0003250188208012798,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.5200548,0.0,0.09504007382116991,0.0,0.4344163288381203,0.0,-0.0003846835085256017,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.527273,0.0,0.11228807013011831,0.0,0.5040815312189157,0.0,-0.00044637330399361876,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.5346355,0.0,0.13067366662360708,0.0,0.5752226542477733,0.0,-0.0005093700538634661,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.5506985,0.0,0.15013998329242895,0.0,0.6470544906620013,0.0,-0.0005729784429163537,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.559123,0.0,0.17063298412779684,0.0,0.7188241864281889,0.0,-0.0006365318053026006,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.5699244,0.0,0.19210133492141596,0.0,0.7898171516210764,0.0,-0.0006993973587316765,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.5806663,0.0,0.2144962681753419,0.0,0.8593622931173998,0.0,-0.0007609808381171491,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.589701,0.0,0.23777145476657394,0.0,0.926836550687024,0.0,-0.0008207305123673438,0.0,0.0507364347577095,0.0,7.450601913205901e-09,7.450601913205901e-09,7.450601913205901e-09,"[0, 20, 0, 100, 0, 0]"
1753692084.5994065,0.0,0.26188288202825194,0.0,0.9916687263833013,0.0,-0.0008776376369507869,0.0,0.04785481095314026,0.0,0.0002500074333511293,7.450601913205901e-09,-5.361012540561205e-07,"[0, 20, 0, 100, 0, 0]"
