timestamp,target_pos,current_pos,force
1744610724.8158703,-0.001,7.450569938782792e-09,-10
1744610724.8334858,-0.00294,7.450569938782792e-09,-10
1744610724.835316,-0.005753599999999999,7.450569938782792e-09,-10
1744610724.83753,-0.009368983999999999,7.450569938782792e-09,-10
1744610724.8486261,-0.01370990896,7.450569938782792e-09,-10
1744610724.8575697,-0.0186966885824,7.450569938782792e-09,-10
1744610724.8677802,-0.024247162337856,7.450569938782792e-09,-10
1744610724.8800588,-0.03027764078216064,7.450569938782792e-09,-10
1744610724.894987,-0.036703818896428445,7.450569938782792e-09,-10
1744610724.9142733,-0.04344164991601857,7.450569938782792e-09,-10
1744610724.9273305,-0.050408172885469005,7.450569938782792e-09,-10
1744610724.9343896,-0.05752228797759223,7.450569938782792e-09,-10
1744610724.944912,-0.06470547443533337,7.450569938782792e-09,-10
1744610724.9594476,-0.07188244682583411,7.450569938782792e-09,-10
1744610724.9644978,-0.07898174612855148,7.450569938782792e-09,-10
1744610724.9762082,-0.08593626300484747,-6.087035944801755e-05,-10
1744610724.9843907,-0.09268369140728018,-0.0003120329638477415,-10
1744610724.9945183,-0.09916691147551845,-0.0009215507889166474,-10
1744610725.0069864,-0.10533430142558962,-0.0020310685504227877,-10
1744610725.014508,-0.11113997886390134,-0.003640586044639349,-10
1744610725.024587,-0.11654397264165846,-0.0057501038536429405,-10
1744610725.0390835,-0.12151232700411113,-0.008359622210264206,-10
1744610725.044466,-0.12601714037840006,-0.011469140648841858,-10
1744610725.0544093,-0.13003654168019055,-0.014896795153617859,-10
1744610725.0644648,-0.1335546075000896,-0.018376633524894714,-10
1744610725.0743403,-0.1365612239539928,-0.0218876451253891,-10
1744610725.0854666,-0.13905189734566092,-0.025663992390036583,-10
1744610725.094461,-0.14102751809428904,-0.02994033880531788,-10
1744610725.10438,-0.14249408262454286,-0.03467885032296181,-10
1744610725.1170607,-0.14346237810203855,-0.039613477885723114,-10
1744610725.1244118,-0.14394763502463906,-0.04459713399410248,-10
