timestamp,target_pos_rx,target_pos_ry,target_pos_rz,current_pos_rx,current_pos_ry,current_pos_rz,force
1753691612.4793746,0.0019999999999943813,-3.1292078066859697e-09,3.5619840537231947e-09,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.4863555,0.005899999999983423,-9.231394574104421e-09,1.0507639951248474e-08,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.4982462,0.011604999999967391,-1.8158511842942592e-08,2.0667280231066034e-08,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.5145638,0.019024749999946543,-2.977016992956068e-08,3.3879444136687346e-08,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.5303898,0.0280735124999211,-4.3933256259430074e-08,4.999051595571302e-08,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.54593,0.03866983687489132,-6.052154097835285e-08,6.885435927409815e-08,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.5511522,0.050736345031107404,-7.941534617477491e-08,9.033196671019121e-08,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.562173,0.06419952777950705,-1.0050112604656798e-07,1.1429112457198835e-07,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.5763474,0.07898955139048106,-1.2367114884556155e-07,1.4060609207148214e-07,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.5816371,0.09504007382090073,-1.488232424331683e-07,1.6915729448499698e-07,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.5921369,0.11228807012979379,-1.7586045078047845e-07,1.9983102981535207e-07,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.6116998,0.13067366662323657,-2.0469074135722921e-07,2.3251918856760028e-07,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.6170862,0.15013998329200157,-2.3522680157630503e-07,2.6711898597986883e-07,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.62197,0.17063298412732264,-2.673857589049257e-07,3.035327063303687e-07,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
1753691612.6310174,0.192101334920872,-3.01088964586928e-07,3.41667458910579e-07,5.9201555252075195,-0.00010204332647845149,-8.964521111920476e-05,"[20, 0, 0, 0, 0, 0]"
