timestamp,target_pos_rx,target_pos_ry,target_pos_rz,current_pos_rx,current_pos_ry,current_pos_rz,force
1753691660.4188895,1.895758319773386e-22,0.0019999980993843647,2.7572608291537597e-06,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.4347222,1.876806137340865e-10,0.005899994393174334,8.133919458942377e-06,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.4424763,9.975826289362204e-10,0.011604988971640086,1.5999006097823947e-05,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.4494364,3.0694371338456503e-09,0.019024731920573277,2.622809967017656e-05,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.4576426,7.211655788020027e-09,0.028073485821432084,3.87030005694504e-05,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.4677243,1.4369412487380295e-08,0.03866980012660878,5.331141980454747e-05,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.4816396,2.5596806956861888e-08,0.05073629681593391,6.994668370627872e-05,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.48861,4.203265408146494e-08,0.06419946677014852,8.850745340549509e-05,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.4986942,6.487949065819138e-08,0.07898947632600622,0.0001088974583364203,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.5137117,9.53854342588765e-08,0.09503998350344206,0.00013102524305806952,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.520279,1.3482856752347752e-07,0.11228796342137647,0.0001548039267236276,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.527817,1.8450355589327483e-07,0.13067354244275528,0.00018015097456247308,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.5381236,2.457102379395098e-07,0.15013984061241514,0.00020698798077233414,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.5484426,3.197439553966072e-07,0.1706328219729414,0.0002352404622500009,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.558166,4.0788741509666205e-07,0.19210115236475256,0.0002648376626182257,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.5748518,5.114038975037431e-07,0.214496064336264,0.00029571236603404504,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.5816107,6.315316467305482e-07,0.2377712288085321,0.0003278007202898492,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.5892336,7.694792950093442e-07,0.2618826331564382,0.0003610420687432311,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.5999055,9.264221908082223e-07,0.28678846538622016,0.00039537879063501996,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.6087122,1.1034995143059015e-06,0.31244900410373766,0.0004307561493770615,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.6200092,1.3018120769492926e-06,0.3388265139846015,0.0004671221484123015,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.6272972,1.5224207134607348e-06,0.3658851464706023,0.0005044273942696345,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.6378765,1.7663451850789477e-06,0.3935908454314692,0.0005426249664548628,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.6512766,2.0345635221373214e-06,0.42191125754341635,0.0005816702938370238,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.657859,2.3280117424074186e-06,0.45081564714884903,0.0006215210372063516,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.6679814,2.6475838890765554e-06,0.4802748153730642,0.0006621369776962727,0.07898972928524017,0.0,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.6833467,2.994137930843778e-06,0.5102610234557717,0.0007033532048083534,0.07535986602306366,0.00012175027222838253,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.6880043,3.3684366299926176e-06,0.5407479198426283,0.0007447819309210856,0.06510873883962631,0.0006252879975363612,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.700307,3.771022590610489e-06,0.571710470523304,0.0007860228577866945,0.0539437010884285,0.001774773234501481,0.0,"[0, 20, 0, 0, 0, 0]"
1753691660.7073936,4.202001440541012e-06,0.6031248930772997,0.0008267414753746276,0.04409000650048256,0.004337280057370663,5.979512025078293e-06,"[0, 20, 0, 0, 0, 0]"
1753691660.7177715,4.661276737493963e-06,0.6349685941116984,0.0008666761959287869,0.035846225917339325,0.008673680946230888,1.195781078422442e-05,"[0, 20, 0, 0, 0, 0]"
1753691660.7312753,5.1485155530519484e-06,0.6672201098365848,0.0009056293869328219,0.02905995212495327,0.01369983796030283,1.8887032638303936e-05,"[0, 20, 0, 0, 0, 0]"
1753691660.742269,5.663198291214404e-06,0.6998590496063958,0.0009434562076423928,0.023502986878156662,0.019044924527406693,2.6255940611008555e-05,"[0, 20, 0, 0, 0, 0]"
1753691660.7503762,6.204630750565901e-06,0.7328660422776143,0.0009800545072766982,0.01896156556904316,0.025366410613059998,3.497094439808279e-05,"[0, 20, 0, 0, 0, 0]"
1753691660.761938,6.771959305743282e-06,0.7662226852438022,0.001015356336296421,0.015253663994371891,0.032981522381305695,4.546938362182118e-05,"[0, 20, 0, 0, 0, 0]"
1753691660.7706583,7.3641912913250536e-06,0.7999114960154722,0.0010493209702642716,0.01222842838615179,0.04196380078792572,5.7852656027534977e-05,"[0, 20, 0, 0, 0, 0]"
1753691660.7777889,7.98016864312287e-06,0.833915866218924,0.0010819292202158815,0.009761885739862919,0.05343490466475487,7.366711361100897e-05,"[0, 20, 0, 0, 0, 0]"
1753691660.7874517,8.61857398352969e-06,0.8682200178932477,0.0011131788082875173,0.0077524203807115555,0.06764674186706543,9.326003782916814e-05,"[0, 20, 0, 0, 0, 0]"
1753691660.797763,9.27805234260371e-06,0.9028089619718077,0.0011430806182371946,0.00611680606380105,0.08222425729036331,0.00011335712770232931,"[0, 20, 0, 0, 0, 0]"
1753691660.8086298,9.957204479028849e-06,0.9376684588388234,0.001171655658906774,0.004786916077136993,0.09767045825719833,0.00013465182564686984,"[0, 20, 0, 0, 0, 0]"
1753691660.824489,1.0654597733479222e-05,0.972784980857664,0.001198932610980497,0.003706977004185319,0.11403115093708038,0.0001572073088027537,"[0, 20, 0, 0, 0, 0]"
1753691660.8324401,1.136882839859322e-05,1.008145676772452,0.00122494585047691,0.002831332618370652,0.1301928162574768,0.0001794884301489219,"[0, 20, 0, 0, 0, 0]"
1753691660.8391244,1.2098488048784878e-05,1.0437383378895173,0.0012497338591761535,0.0021226222161203623,0.1470375806093216,0.00020271135144867003,"[0, 20, 0, 0, 0, 0]"
1753691660.8480723,1.2842148775830077e-05,1.0795513659493567,0.001273337951542602,0.0015502688474953175,0.16501985490322113,0.0002275025035487488,"[0, 20, 0, 0, 0, 0]"
1753691660.8576612,1.35983665589332e-05,1.1155737426052532,0.0012958012594140764,0.0010892483405768871,0.18419510126113892,0.00025393840041942894,"[0, 20, 0, 0, 0, 0]"
1753691660.869621,1.4365688394002662e-05,1.1517950004275717,0.0013171679262478874,0.0007190831238403916,0.20452050864696503,0.00028196003404445946,"[0, 20, 0, 0, 0, 0]"
1753691660.877323,1.5142580624994522e-05,1.188205195358158,0.001337482470551358,0.00042303287773393095,0.227579727768898,0.00031375078833661973,"[0, 20, 0, 0, 0, 0]"
1753691660.887486,1.592742197267911e-05,1.2247948805416522,0.0013567892882334455,0.00018739531515166163,0.2536536157131195,0.0003496978897601366,"[0, 20, 0, 0, 0, 0]"
